abbacken, ich back(e)⁵ ab, du backst ab, er backt ab, wir backen ab, ihr backt ab, sie backen ab, ich backte ab, du backtest ab, er backte ab, wir backten ab, ihr backtet ab, sie backten ab, ich habe abgebacken, du hast abgebacken, er hat abgebacken, wir haben abgebacken, ihr habt abgebacken, sie haben abgebacken, ich hatte abgebacken, du hattest abgebacken, er hatte abgebacken, wir hatten abgebacken, ihr hattet abgebacken, sie hatten abgebacken, ich werde abbacken, du wirst abbacken, er wird abbacken, wir werden abbacken, ihr werdet abbacken, sie werden abbacken, ich werde abgebacken haben, du wirst abgebacken haben, er wird abgebacken haben, wir werden abgebacken haben, ihr werdet abgebacken haben, sie werden abgebacken haben
abbaggern, ich bagg(e)⁴r(e)⁵ ab, du baggerst ab, er baggert ab, wir baggern ab, ihr baggert ab, sie baggern ab, ich baggerte ab, du baggertest ab, er baggerte ab, wir baggerten ab, ihr baggertet ab, sie baggerten ab, ich habe abgebaggert, du hast abgebaggert, er hat abgebaggert, wir haben abgebaggert, ihr habt abgebaggert, sie haben abgebaggert, ich hatte abgebaggert, du hattest abgebaggert, er hatte abgebaggert, wir hatten abgebaggert, ihr hattet abgebaggert, sie hatten abgebaggert, ich werde abbaggern, du wirst abbaggern, er wird abbaggern, wir werden abbaggern, ihr werdet abbaggern, sie werden abbaggern, ich werde abgebaggert haben, du wirst abgebaggert haben, er wird abgebaggert haben, wir werden abgebaggert haben, ihr werdet abgebaggert haben, sie werden abgebaggert haben
abbalgen, ich balg(e)⁵ ab, du balgst ab, er balgt ab, wir balgen ab, ihr balgt ab, sie balgen ab, ich balgte ab, du balgtest ab, er balgte ab, wir balgten ab, ihr balgtet ab, sie balgten ab, ich habe abgebalgt, du hast abgebalgt, er hat abgebalgt, wir haben abgebalgt, ihr habt abgebalgt, sie haben abgebalgt, ich hatte abgebalgt, du hattest abgebalgt, er hatte abgebalgt, wir hatten abgebalgt, ihr hattet abgebalgt, sie hatten abgebalgt, ich werde abbalgen, du wirst abbalgen, er wird abbalgen, wir werden abbalgen, ihr werdet abbalgen, sie werden abbalgen, ich werde abgebalgt haben, du wirst abgebalgt haben, er wird abgebalgt haben, wir werden abgebalgt haben, ihr werdet abgebalgt haben, sie werden abgebalgt haben
abballern, ich ball(e)⁴r(e)⁵ ab, du ballerst ab, er ballert ab, wir ballern ab, ihr ballert ab, sie ballern ab, ich ballerte ab, du ballertest ab, er ballerte ab, wir ballerten ab, ihr ballertet ab, sie ballerten ab, ich habe abgeballert, du hast abgeballert, er hat abgeballert, wir haben abgeballert, ihr habt abgeballert, sie haben abgeballert, ich hatte abgeballert, du hattest abgeballert, er hatte abgeballert, wir hatten abgeballert, ihr hattet abgeballert, sie hatten abgeballert, ich werde abballern, du wirst abballern, er wird abballern, wir werden abballern, ihr werdet abballern, sie werden abballern, ich werde abgeballert haben, du wirst abgeballert haben, er wird abgeballert haben, wir werden abgeballert haben, ihr werdet abgeballert haben, sie werden abgeballert haben
abbalzen, ich balz(e)⁵ ab, du balzt ab, er balzt ab, wir balzen ab, ihr balzt ab, sie balzen ab, ich balzte ab, du balztest ab, er balzte ab, wir balzten ab, ihr balztet ab, sie balzten ab, ich habe abgebalzt, du hast abgebalzt, er hat abgebalzt, wir haben abgebalzt, ihr habt abgebalzt, sie haben abgebalzt, ich hatte abgebalzt, du hattest abgebalzt, er hatte abgebalzt, wir hatten abgebalzt, ihr hattet abgebalzt, sie hatten abgebalzt, ich werde abbalzen, du wirst abbalzen, er wird abbalzen, wir werden abbalzen, ihr werdet abbalzen, sie werden abbalzen, ich werde abgebalzt haben, du wirst abgebalzt haben, er wird abgebalzt haben, wir werden abgebalzt haben, ihr werdet abgebalzt haben, sie werden abgebalzt haben
abbauen, ich bau(e)⁵ ab, du baust ab, er baut ab, wir bau(e)⁵n ab, ihr baut ab, sie bau(e)⁵n ab, ich baute ab, du bautest ab, er baute ab, wir bauten ab, ihr bautet ab, sie bauten ab, ich habe abgebaut, du hast abgebaut, er hat abgebaut, wir haben abgebaut, ihr habt abgebaut, sie haben abgebaut, ich hatte abgebaut, du hattest abgebaut, er hatte abgebaut, wir hatten abgebaut, ihr hattet abgebaut, sie hatten abgebaut, ich werde abbau(e)⁵n, du wirst abbau(e)⁵n, er wird abbau(e)⁵n, wir werden abbau(e)⁵n, ihr werdet abbau(e)⁵n, sie werden abbau(e)⁵n, ich werde abgebaut haben, du wirst abgebaut haben, er wird abgebaut haben, wir werden abgebaut haben, ihr werdet abgebaut haben, sie werden abgebaut haben
abbedingen, ich beding(e)⁵ ab, du bedingst ab, er bedingt ab, wir bedingen ab, ihr bedingt ab, sie bedingen ab, ich bedang ab, du bedangst ab, er bedang ab, wir bedangen ab, ihr bedangt ab, sie bedangen ab, ich habe abbedungen, du hast abbedungen, er hat abbedungen, wir haben abbedungen, ihr habt abbedungen, sie haben abbedungen, ich hatte abbedungen, du hattest abbedungen, er hatte abbedungen, wir hatten abbedungen, ihr hattet abbedungen, sie hatten abbedungen, ich werde abbedingen, du wirst abbedingen, er wird abbedingen, wir werden abbedingen, ihr werdet abbedingen, sie werden abbedingen, ich werde abbedungen haben, du wirst abbedungen haben, er wird abbedungen haben, wir werden abbedungen haben, ihr werdet abbedungen haben, sie werden abbedungen haben
abbeeren, ich beer(e)⁵ ab, du beerst ab, er beert ab, wir beeren ab, ihr beert ab, sie beeren ab, ich beerte ab, du beertest ab, er beerte ab, wir beerten ab, ihr beertet ab, sie beerten ab, ich habe abgebeert, du hast abgebeert, er hat abgebeert, wir haben abgebeert, ihr habt abgebeert, sie haben abgebeert, ich hatte abgebeert, du hattest abgebeert, er hatte abgebeert, wir hatten abgebeert, ihr hattet abgebeert, sie hatten abgebeert, ich werde abbeeren, du wirst abbeeren, er wird abbeeren, wir werden abbeeren, ihr werdet abbeeren, sie werden abbeeren, ich werde abgebeert haben, du wirst abgebeert haben, er wird abgebeert haben, wir werden abgebeert haben, ihr werdet abgebeert haben, sie werden abgebeert haben
abbehalten, ich behalt(e)⁵ ab, du behältst ab, er behält ab, wir behalten ab, ihr behaltet ab, sie behalten ab, ich behielt ab, du behielt(e)⁷st ab, er behielt ab, wir behielten ab, ihr behieltet ab, sie behielten ab, ich habe abbehalten, du hast abbehalten, er hat abbehalten, wir haben abbehalten, ihr habt abbehalten, sie haben abbehalten, ich hatte abbehalten, du hattest abbehalten, er hatte abbehalten, wir hatten abbehalten, ihr hattet abbehalten, sie hatten abbehalten, ich werde abbehalten, du wirst abbehalten, er wird abbehalten, wir werden abbehalten, ihr werdet abbehalten, sie werden abbehalten, ich werde abbehalten haben, du wirst abbehalten haben, er wird abbehalten haben, wir werden abbehalten haben, ihr werdet abbehalten haben, sie werden abbehalten haben
abbeißen, ich beiß(e)⁵ ab, du beißt ab, er beißt ab, wir beißen ab, ihr beißt ab, sie beißen ab, ich biss ab, du biss(es)t ab, er biss ab, wir bissen ab, ihr biss(e)t ab, sie bissen ab, ich habe abgebissen, du hast abgebissen, er hat abgebissen, wir haben abgebissen, ihr habt abgebissen, sie haben abgebissen, ich hatte abgebissen, du hattest abgebissen, er hatte abgebissen, wir hatten abgebissen, ihr hattet abgebissen, sie hatten abgebissen, ich werde abbeißen, du wirst abbeißen, er wird abbeißen, wir werden abbeißen, ihr werdet abbeißen, sie werden abbeißen, ich werde abgebissen haben, du wirst abgebissen haben, er wird abgebissen haben, wir werden abgebissen haben, ihr werdet abgebissen haben, sie werden abgebissen haben
